"country","year","ciri","cow","polity","unctry","unreg","unsubreg","human_rights_score","physint_sum","repression_sum","civpol_sum","workerrights_practices_sum","workerrights_laws_sum","disap","kill","polpris","tort","bbatrocity","bbatrocity_intensity","assn","formov","dommov","speech","elecsd","rel_free","wecon","wopol","wosoc_p","union_p","barg_p","hour_p","force_p","child_p","wage_p","safe_p","trafficking_p","injud","ngo_freedom","trial_p","wosoc_l","union_l","barg_l","hour_l","force_l","child_l","wage_l","safe_l","trafficking_l","trial_l"
"Ghana",2020,302,452,452,288,2,11,NA,6,11,5,NA,NA,2,1,2,1,0,NA,2,2,2,1,1,2,NA,NA,1,0,1,NA,1,0,1,1,1,1,3,0,2,1,1,NA,2,0,2,1,2,2
"Ukraine",2020,653,369,369,804,150,151,NA,3,7,4,NA,NA,1,1,1,0,0,NA,2,2,0,1,0,1,NA,NA,2,0,0,NA,1,1,1,0,0,0,1,0,3,0,0,NA,2,2,2,2,2,3
"United Kingdom",2020,659,200,200,826,150,154,NA,7,16,6,NA,NA,2,2,2,1,0,NA,2,2,2,2,2,2,NA,NA,3,1,2,NA,1,0,1,2,2,2,3,3,3,2,2,NA,2,0,1,2,2,3
"Turkmenistan",2020,644,701,701,795,142,62,NA,4,4,0,NA,NA,2,2,0,0,0,NA,0,1,0,0,0,0,NA,NA,2,0,0,NA,0,1,1,0,0,0,0,0,3,0,0,NA,2,2,2,0,1,1
"Cuba",2020,233,40,40,192,419,29,NA,1,1,0,NA,NA,0,1,0,0,0,NA,0,0,0,0,0,0,NA,NA,2,0,0,NA,0,0,1,0,0,0,0,0,2,0,0,NA,0,1,1,2,0,1
"Poland",2020,518,290,290,616,150,151,NA,7,13,4,NA,NA,2,2,2,1,0,NA,1,2,2,2,1,1,NA,NA,3,1,1,NA,2,1,1,2,0,1,2,2,3,1,1,NA,2,1,2,2,0,3
"Botswana",2020,167,571,571,72,2,18,NA,7,11,4,NA,NA,2,2,2,1,0,NA,1,2,2,1,1,2,NA,NA,2,0,0,NA,0,1,1,0,0,1,3,0,2,0,0,NA,2,1,2,0,1,1
"Congo, Republic of",2020,221,484,484,178,2,17,NA,5,8,3,NA,NA,2,1,1,1,0,NA,1,2,2,1,0,1,0,2,2,0,0,NA,0,0,0,1,0,1,1,0,2,1,1,NA,1,0,0,1,0,0
"Djibouti",2020,248,522,522,262,2,14,NA,4,4,0,NA,NA,1,1,1,1,0,NA,0,1,2,0,0,0,NA,NA,1,0,0,NA,1,1,0,1,0,1,1,0,2,0,1,NA,2,1,0,1,0,3
"Lebanon",2020,392,660,660,422,142,145,NA,5,10,4,NA,NA,2,1,2,0,0,NA,2,2,1,1,1,1,NA,NA,0,0,1,NA,1,0,0,1,0,0,2,1,0,1,1,NA,2,1,0,2,0,2
"Mauritius",2020,440,590,590,480,2,14,NA,6,11,3,NA,NA,2,1,2,1,0,NA,2,2,2,0,1,1,NA,NA,3,0,1,NA,0,0,1,2,0,2,3,2,3,1,1,NA,1,2,2,2,0,3
"Mali",2020,428,432,432,466,2,11,NA,2,5,3,NA,NA,0,1,1,0,0,NA,1,1,1,1,1,1,NA,NA,0,0,1,NA,1,0,1,0,0,0,2,0,0,1,1,NA,2,0,1,2,0,3
"Brazil",2020,170,140,140,76,419,5,NA,4,6,2,NA,NA,2,0,2,0,1,1,1,2,2,0,2,1,NA,NA,3,1,1,NA,1,1,1,1,0,1,3,0,3,1,1,NA,2,1,2,2,1,2
"Colombia",2020,212,100,100,170,419,5,NA,3,8,3,NA,NA,1,1,0,1,0,NA,1,2,2,0,1,2,NA,NA,1,0,0,NA,0,0,1,1,1,2,1,2,1,0,1,NA,2,2,2,1,1,3
"Bosnia Herzegovenia",2020,164,346,346,70,150,39,NA,6,10,3,NA,NA,2,2,2,0,0,NA,1,1,0,1,1,1,NA,NA,3,0,0,NA,0,1,1,0,0,1,1,1,3,1,1,NA,1,1,2,0,1,3
"Switzerland",2020,611,225,225,756,150,155,NA,8,17,6,NA,NA,2,2,2,2,0,NA,2,2,2,2,2,2,NA,NA,3,1,2,NA,1,1,0,2,1,2,3,3,3,2,2,NA,2,1,0,2,1,3
