Entity,Code,Year,total_private_investment_by_focus_area_inflation_adjusted
Agricultural tech,,2017,413050561
Audiovisual,,2017,1112648713
Augmented reality/virtual reality,,2017,280579339
"Cybersecurity, data protection",,2017,677722089
"Data management, processing, cloud",,2017,2560222567
Drones,,2017,119470692
Educational tech,,2017,1215659420
"Energy, oil, and gas",,2017,1907559596
Entertainment,,2017,123171687
Facial recognition,,2017,1007701977
Financial tech,,2017,1971567716
Fitness and wellness,,2017,332897082
Geospatial,,2017,248700649
Human resources tech,,2017,270261239
"Industrial automation, network",,2017,3334830936
Insurance tech,,2017,103922198
Legal tech,,2017,249074336
"Marketing, digital ads",,2017,931135803
Medical and healthcare,,2017,3196144826
"Music, video content",,2017,213979915
"Natural language, customer support",,2017,848459791
Retail,,2017,2755008678
Sales enablement,,2017,490864088
Semiconductor,,2017,779258431
Total,,2017,25326289602
Venture capital,,2017,182397274
